FEED URL	TAGS STRING	FEED DESCRIPTION	ABOUT PAGE	COMPANY GAME
twitter://Shinji_Mikami_E	,,,"japan","people","generic"	Official Twitter Account of Shinji Mikami: Director at Tango Gameworks		Resident Evil series
twitter://Tango_gw_en	"tangogameworks","thirdparty","studio","japan","pr","generic"	Official Twitter Account of Tango Gameworks	http://www.tangogameworks.com/studio/info	
http://www.tantalus.com.au/news_feed.xml	"tantalusmedia","independent","studio","world","pr","generic"	Official News Feed of Tantalus Media	http://www.tantalus.com.au/about.html	Funky Barn 
twitter://Team17Ltd	"team17","independent","publisher","worldwide","pr","generic"	Official Twitter Account of Team17	http://www.team17.com/about-us	Worms series
youtube://Team17SoftwareLtd	"team17","independent","publisher","worldwide","pr","generic"	Official Facebook Page of Team17	http://www.team17.com/about-us	Worms series
facebook://159231720769012	"teamninja","thirdparty","studio","japan","pr","generic"	Official Facebook Page of Team Ninja	http://www.facebook.com/teamninjastudio/info	Ninja Gaiden series
twitter://TeamNINJAStudio	"teamninja","thirdparty","studio","japan","pr","generic"	Official Twitter Account of Team Ninja	http://www.facebook.com/teamninjastudio/info	Ninja Gaiden series
facebook://101727165027	"tecmokoei","thirdparty","publisher","worldwide","pr","generic"	Official Facebook Page of Tecmo Koei America	http://www.koeitecmo.co.jp/e/principles.html	
facebook://109196331784	"tecmokoei","thirdparty","publisher","worldwide","pr","generic"	Official Facebook Page of Tecmo Europe	http://www.koeitecmo.co.jp/e/principles.html	
facebook://48306691162	"tecmokoei","thirdparty","publisher","worldwide","pr","generic"	Official Facebook Page of Koei Europe	http://www.koeitecmo.co.jp/e/principles.html	
twitter://tecmokoeieurope	"tecmokoei","thirdparty","publisher","worldwide","pr","generic"	Official Twitter Account of Tecmo Koei Europe	http://www.koeitecmo.co.jp/e/principles.html	
youtube://KoeiCorp	"tecmokoei","thirdparty","publisher","worldwide","pr","generic"	Official Youtube Channel of Tecmo Koei America	http://www.koeitecmo.co.jp/e/principles.html	
youtube://MyKOEITV	"tecmokoei","thirdparty","publisher","worldwide","pr","generic"	Official Youtube Channel of Tecmo Koei Europe	http://www.koeitecmo.co.jp/e/principles.html	
http://feeds.feedburner.com/telltaleblog	"telltalegames","independent","studio","america","pr","generic"	Official News Feed of Telltale Games	http://www.telltalegames.com/company/	The Walking Dead
twitter://telltalegames	"telltalegames","independent","studio","america","pr","generic"	Official Twitter Account of Telltale Games	http://www.telltalegames.com/company/	The Walking Dead
youtube://TelltaleGames	"telltalegames","independent","studio","america","pr","generic"	Official Youtube Channel of Telltale Games	http://www.telltalegames.com/company/	The Walking Dead
facebook://431786053568594	"tequilaworks","independent","studio","europe","pr","generic"	Official Facebook Page of Tequila Works	http://www.tequilaworks.com/eng/tequila-works	Deadlight 
twitter://tequilaworks	"tequilaworks","independent","studio","europe","pr","generic"	Official Twitter Account of Tequila Works	http://www.tequilaworks.com/eng/tequila-works	Deadlight 
youtube://tequilaworks	"tequilaworks","independent","studio","europe","pr","generic"	Official Youtube Channel of Tequila Works	http://www.tequilaworks.com/eng/tequila-works	Deadlight 
http://distractionware.com/blog/feed/	,"indie",,"europe","people","generic"	Official News Feed of Terry Cavanagh	http://distractionware.com/blog/about-me/	VVVVVV
twitter://terrycavanagh	,"indie",,"europe","people","generic"	Official Twitter Account of Terry Cavanagh	http://distractionware.com/blog/about-me/	VVVVVV
facebook://193637694014149	"tetris","thirdparty","publisher","worldwide","pr","generic"	Official Facebook Page of Tetris	http://www.tetris.com/about-tetris/index.aspx	
twitter://Tetris_Official	"tetris","thirdparty","publisher","worldwide","pr","generic"	Official Twitter Account of Tetris	http://www.tetris.com/about-tetris/index.aspx	
twitter://thatgamecompany	"thatgamecompany","indie","studio","america","pr","experimental"	Official Twitter Account of Thatgamecompany	http://thatgamecompany.com/company/	Journey
http://thatgamecompany.com/feed/	"thatgamecompany","indie","studio","america","pr","experimental"	Official News Feed of Thatgamecompany	http://thatgamecompany.com/company/	Journey
facebook://7759705950	"thebehemoth","indie","studio","america","pr","generic"	Official Facebook Page of The Behemoth	https://www.facebook.com/thebehemoth/info	Castle Crashers
http://devblog.thebehemoth.com/feed/	"thebehemoth","indie","studio","america","devblog","generic"	Official Devblog of The Behemoth	https://www.facebook.com/thebehemoth/info	Castle Crashers
twitter://thebehemoth	"thebehemoth","indie","studio","america","pr","generic"	Official Twitter Account of The Behemoth	https://www.facebook.com/thebehemoth/info	Castle Crashers
youtube://thebehem0th	"thebehemoth","indie","studio","america","pr","generic"	Official Youtube Channel of The Behemoth	https://www.facebook.com/thebehemoth/info	Castle Crashers
twitter://TheOddGentlemen	"theoddgentlemen","indie","studio","america","pr","generic"	Official Twitter Account of The Odd Gentlemen	http://www.theoddgentlemen.com/About_Us.html	The Misadventures of P.B. Winterbottom
tumblr://oddgentlemen	"theoddgentlemen","indie","studio","america","pr","generic"	Official Tumblr Account of The Odd Gentlemen	http://www.theoddgentlemen.com/About_Us.html	The Misadventures of P.B. Winterbottom
youtube://TheZenUnited	"thezenunited","thirdparty","distributor","worldwide","pr","generic"	Official Youtube Channel of The Zen United	http://store.blazbluegame.com/about--contact-1-w.asp	
facebook://461896177211270	"tigonstudios","thirdparty","publisher","worldwide","pr","generic"	Official Facebook Page of Tigon Studios	http://www.tigonstudios.com/index2.htm	Vin Diesel Wheelman
http://www.timegate.com/news/rss/	"timegatestudios","thirdparty","studio","america","pr","generic"	Official News Feed of Timegate Studios	http://www.timegate.com/about/	Section 8: Prejudice
twitter://TimeGateStudios	"timegatestudios","thirdparty","studio","america","pr","generic"	Official Twitter Account of Timegate Studios	http://www.timegate.com/about/	Section 8: Prejudice
youtube://TimeGateStudiosInc	"timegatestudios","thirdparty","studio","america","pr","generic"	Official Youtube Channel of Timegate Studios	http://www.timegate.com/about/	Section 8: Prejudice
twitter://mechabadger	,,,"europe","people","generic"	Official Twitter Account of Toby Guard: Game Designer & Creator of Lara Croft		
facebook://147116311992383	"trapdoor","indie","studio","america","pr","generic"	Official Facebook Page of Trapdoor	http://www.trapdoorinc.com/#about	Warp
twitter://trapdoorinc	"trapdoor","indie","studio","america","pr","generic"	Official Twitter Account of Trapdoor	http://www.trapdoorinc.com/#about	Warp
facebook://43119577723	"treyarch","thirdparty","studio","america","pr","generic"	Official Facebook Page of Treyarch	http://www.treyarch.com/about	Call of Duty Balck Ops series
twitter://treyarch	"treyarch","thirdparty","studio","america","pr","generic"	Official Twitter Account of Treyarch	http://www.treyarch.com/about	Call of Duty Balck Ops series
youtube://Treyarch 	"treyarch","thirdparty","studio","america","pr","generic"	Official Youtube Channel of Treyarch	http://www.treyarch.com/about	Call of Duty Balck Ops series
twitter://Tri_Crescendo	"tricrescendo","thirdparty","studio","japan","pr","generic"	Official Twitter Account of Tri Crescendo	http://www.tri-crescendo.co.jp/index.html	Star Ocean
facebook://206451302699651	"triumphstudios","independent","studio","europe","pr","generic"	Official Facebook Page of Triumph Studios	http://www.triumphstudios.com/index.php	Overlord series
twitter://TriumphStudios	"triumphstudios","independent","studio","europe","pr","generic"	Official Twitter Account of Triumph Studios	http://www.triumphstudios.com/index.php	Overlord series
twitter://JonTt	,,,"europe","people","generic"	Official Twitter Account of Jon Burton: Design Director of TT Games		Lego Star Wars series
twitter://TTGames	"ttgames","thirdparty","studio","europe","pr","generic"	Official Twitter Account of TT Games	http://www.ttgames.com/history/	Lego Star Wars series
twitter://Turn10Studios	"turn10","microsoft","studio","america","pr","racing"	Official Twitter Account of Turn 10	http://forzamotorsport.net/en-US/turn10.aspx	Forza Motor Sport series
youtube://Turn10Studios 	"turn10","microsoft","studio","america","pr","racing"	Official Youtube Channel of Turn 10	http://forzamotorsport.net/en-US/turn10.aspx	Forza Motor Sport series
facebook://351253423973	"twistedpixelgames","microsoft","studio","america","pr","generic"	Official Facebook Page of Twisted Pixel Games	http://twistedpixelgames.com/	Splosion Man
twitter://deliciousbees	,,,"america","people","generic"	Official Twitter Account of Dan Teasdale: Lead Designer of Twisted Pixel Games		Splosion Man
twitter://twisted_pixel	"twistedpixelgames","microsoft","studio","america","pr","generic"	Official Twitter Account of Twisted Pixel Games	http://twistedpixelgames.com/	Splosion Man
youtube://twistedpixelgames	"twistedpixelgames","microsoft","studio","america","pr","generic"	Official Youtube Channel of Twisted Pixel Games	http://twistedpixelgames.com/	Splosion Man
facebook://131965693483639	"twotribes","indie","studio","europe","pr","generic"	Official Facebook Page of Two Tribes	http://twotribes.com/about/	Toki Tori
http://twotribes.com/rss/	"twotribes","indie","studio","europe","pr","generic"	Official News Feed of Two Tribes	http://twotribes.com/about/	Toki Tori
twitter://TwoTribesGames	"twotribes","indie","studio","europe","pr","generic"	Official Twitter Account of Two Tribes	http://twotribes.com/about/	Toki Tori
youtube://TwoTribesGames	"twotribes","indie","studio","europe","pr","generic"	Official Youtube Channel of Two Tribes	http://twotribes.com/about/	Toki Tori
facebook://81174647292	"ubisoft","thirdparty","publisher","worldwide","pr","generic"	Official Facebook Page of Ubisoft	https://www.ubisoftgroup.com/en-US/about_ubisoft/world_presence/world_presence.aspx	Assassin's Creed series
twitter://Ubisoft	"ubisoft","thirdparty","publisher","worldwide","pr","generic"	Official Twitter Account of Ubisoft	https://www.ubisoftgroup.com/en-US/about_ubisoft/world_presence/world_presence.aspx	Assassin's Creed series
twitter://UbisoftMTL	"ubisoft","thirdparty","publisher","worldwide","pr","generic"	Official Twitter Account of Ubisoft Montreal	https://www.ubisoftgroup.com/en-US/about_ubisoft/world_presence/world_presence.aspx	Assassin's Creed series
youtube://ubisoft	"ubisoft","thirdparty","publisher","worldwide","pr","generic"	Official Youtube Channel of Ubisoft	https://www.ubisoftgroup.com/en-US/about_ubisoft/world_presence/world_presence.aspx	Assassin's Creed series
youtube://UbisoftMtl	"ubisoft","thirdparty","publisher","worldwide","pr","generic"	Official Youtube Channel of Ubisoft Montreal	https://www.ubisoftgroup.com/en-US/about_ubisoft/world_presence/world_presence.aspx	Assassin's Creed series
facebook://274315067253	"ubisoftmassive","thirdparty","studio","europe","pr","generic"	Official Facebook Page of Ubisoft Massive	http://www.massive.se/about_us/	
facebook://116739968358092	"unitedfront","thirdparty","studio","america","pr","generic"	Official Facebook Page of United Front Games	http://www.unitedfrontgames.com/about/	Sleeping Dogs
twitter://unitedfrontgame	"unitedfront","thirdparty","studio","america","pr","generic"	Official Twitter Account of United Front Games	http://www.unitedfrontgames.com/about/	Sleeping Dogs
youtube://unitedfrontgames	"unitedfront","thirdparty","studio","america","pr","generic"	Official Youtube Channel United Front Games	http://www.unitedfrontgames.com/about/	Sleeping Dogs
facebook://103632155147	"valve","thirdparty","publisher","worldwide","pr","generic"	Official Facebook Page of Valve	http://valvesoftware.com/company/	Half Life series
http://blogs.valvesoftware.com/feed/?cat=3	"valve","thirdparty","publisher","worldwide","devblog","generic"	Official Valve Dev News Feed by Michael Abrash: Game Programmer & Technical Writer at Valve	http://valvesoftware.com/company/	Half Life series
http://blogs.valvesoftware.com/feed/?cat=7	"valve","thirdparty","publisher","worldwide","devblog","generic"	Official Valve Dev News Feed by Valve Linux Team	http://valvesoftware.com/company/	Half Life series
twitter://ValveSoftwares	"valve","thirdparty","publisher","worldwide","pr","generic"	Official Twitter Account of Valve	http://valvesoftware.com/company/	Half Life series
youtube://Valve	"valve","thirdparty","publisher","worldwide","pr","generic"	Official Youtube Channel of Valve	http://valvesoftware.com/company/	Half Life series
twitter://VblankGames	"vblank","indie","studio","america","pr","generic"	Official Twitter Account of Vblank Entertainment	http://www.retrocityrampage.com/contact.php	Retro City Rampage
twitter://VisceralGames	"visceralgames","thirdparty","studio","america","pr","generic"	Official Twitter Account of Visceral Games		Dead Space series
facebook://123174304424121	"volition","thirdparty","studio","america","pr","generic"	Official Facebook Page of Volition	http://www.dsvolition.com/careers/	Saints Row series
http://www.dsvolition.com/feed/	"volition","thirdparty","studio","america","pr","generic"	Official News Feed of Volition	http://www.dsvolition.com/careers/	Saints Row series
twitter://volitioninc	"volition","thirdparty","studio","america","pr","generic"	Official Twitter Account of Volition	http://www.dsvolition.com/careers/	Saints Row series
facebook://144950778875445	"wayforward","thirdparty","studio","america","pr","generic"	Official Facebook Page of Wayforward	http://www.wayforward.com/about/	Mighty Switch Force! 
http://www.wayforward.com/blog/rss.xml	"wayforward","thirdparty","studio","america","pr","generic"	Official News Feed of Wayforward	http://www.wayforward.com/about/	Mighty Switch Force! 
twitter://WayForward	"wayforward","thirdparty","studio","america","pr","generic"	Official Twitter Account of Wayforward	http://www.wayforward.com/about/	Mighty Switch Force! 
youtube://wayforwardtube	"wayforward","thirdparty","studio","america","pr","generic"	Official Youtube Channel of Wayforward	http://www.wayforward.com/about/	Mighty Switch Force! 
http://tomorrowcorporation.com/feed	"tomorrowcorporation","indie","studio","america","pr","experimental"	Official News Feed of Tomorrow Corporation	http://tomorrowcorporation.com/about	Little Inferno
http://www.gamefreak.co.jp/blog/dir_english/?feed=rss2 	,,,"japan","people","generic"	Official News Feed of Junichi Masuda: Game Director of GameFreak inc		Pokemon series
twitter://Junichi_Masuda	,,,"japan","people","generic"	Official Twitter Account of Junichi Masuda: Game Director of GameFreak inc		Pokemon series
twitter://pmolyneux	,,,"europe","people","generic"	Official Twitter Account of Peter Moulineux: A Designer & Director of computer entertainment		Curiosity
twitter://notch	,,,"europe","people","generic"	Official Twitter Account of Notch: Game Developer at Mojang		Minecraft
http://nippon1.jp/news/news.cgi?mode=rss	"nipponichi","thirdparty","studio","japan","pr","japanese only"	Official News Feed of Nippon Ichi Software	http://nisamerica.com/index.php?nav=c	Disgaea series
twitter://nis_prinny	"nipponichi","thirdparty","studio","japan","pr","japanese only"	Official Twitter Account of Nippon Ichi Software	http://nisamerica.com/index.php?nav=c	Disgaea series
youtube://nippon1software	"nipponichi","thirdparty","studio","japan","pr","japanese only"	Official Youtube Channel of  Nippon Ichi Software	http://nisamerica.com/index.php?nav=c	Disgaea series
facebook://428753060506729	"nipponichi","thirdparty","studio","japan","pr","japanese only"	Official Facebook Page of  Nippon Ichi Software	http://nisamerica.com/index.php?nav=c	Disgaea series
twitter://DylanCuthbert	,,,"europe","people","generic"	Official Twitter Account of Dylan Cuthbert: Game Designer & Founder of Q-Games		Starfox64 3D 
twitter://BriProv	,"indie",,"america","people","generic"	Official Twitter Account of Brian Provinciano: a Canadian video game developer		Retro City Rampage
http://www.infinite-interactive.com/feed/	"infiniteinteractive","independent","studio","world","pr","generic"	Official News Feed of Infinite Interactive	http://www.infinite-interactive.com/company/	Puzzle Quest series
facebook://101684993210681	"infiniteinteractive","independent","studio","world","pr","generic"	Official Facebook Page of Infinite Interactive	http://www.infinite-interactive.com/company/	Puzzle Quest series
twitter://i2games	"infiniteinteractive","independent","studio","world","pr","generic"	Official Twitter Account of Infinite Interactive	http://www.infinite-interactive.com/company/	Puzzle Quest series
http://portalcp.joymax.com/XML/_Rss/Notice/Notice_US.xml	"joymax","thirdparty","studio","world","pr","mmorpg"	Official News Feed of Joymax	http://www.joymax.co.kr/eng/company/about.asp	Silkroad series
facebook://142725249118439	"joymax","thirdparty","studio","world","pr","mmorpg"	Official Facebook Page of Joymax	http://www.joymax.co.kr/eng/company/about.asp	Silkroad series
youtube://KOGtheater	"kog","thirdparty","studio","world","pr","mmorpg"	Official Youtube Channel of Kog	http://www.kog.co.kr/eng/company/whoweare.php	Grand Chase
youtube://ncsoft	"ncsoft","thirdparty","studio","world","pr","mmorpg"	Official Youtube Channel of Ncsoft	http://global.ncsoft.com/global/aboutus/overview.aspx	Guild Wars series
twitter://ncsoftgames	"ncsoft","thirdparty","studio","world","pr","mmorpg"	Official Twitter Account of English Ncsoft 	http://global.ncsoft.com/global/aboutus/overview.aspx	Guild Wars series
youtube://SoftmaxNews	"softmax","thirdparty","studio","world","pr","generic"	Official Youtube Channel of Softmax	http://www.softmax.co.kr/English/Company/Overview.aspx?menuid=1_1	Magna Carta series
twitter://spicy_horse	"spicyhorse","thirdparty","studio","world","pr","generic"	Official Twitter Account of Spicy Horse Games	http://www.spicyhorse.com/about-us/	Alice Madness returns
youtube://SpicyHorseOfficial	"spicyhorse","thirdparty","studio","world","pr","generic"	Official Youtube Channel of Spicy Horse Games	http://www.spicyhorse.com/about-us/	Alice Madness returns
facebook://274129019372900	"celestialgames","indie","studio","world","pr","generic"	Official Facebook Page of Celestial Games	http://celestial-games.com/about.html	Toxic Bunny
twitter://tbulford	"celestialgames","indie","studio","world","pr","generic"	Official Twitter Account of Celestial Games	http://celestial-games.com/about.html	Toxic Bunny
twitter://cave_world_en	"caveworld","thirdparty","studio","japan","pr","mobile"	Official Twitter Account of CAVE World	http://www.cave-world.com/en/	Dodonpachi Resurrection (mobile)
youtube://cavemobile	"caveworld","thirdparty","studio","japan","pr","mobile"	Official Youtube Channel of CAVE World	http://www.cave-world.com/en/	Dodonpachi Resurrection (mobile)
